# TYPE: validation-run
# R015 gap-masking tape (seed 9015 [example]). Bar 3 HALTED and
# bar 6 MISSING carry no quote fields: masked (excluded from the
# window, never interpolated), label frozen, module_state UNKNOWN.
# Final: 6 of 8 continuous bars are 1-tick -> 0.75 constrained.
bar,event_ts,asof_ts,bid,ask,tick,trade_px,mkt_state,corp_action
1,1788220800000000000,1788220860000000000,99.995,100.005,0.01,100.0,CONTINUOUS_TRADING,0
2,1788220800000000060,1788220860000000060,99.995,100.005,0.01,100.0,CONTINUOUS_TRADING,0
3,1788220800000000120,1788220860000000120,,,0.01,,HALTED,0
4,1788220800000000180,1788220860000000180,99.995,100.005,0.01,100.0,CONTINUOUS_TRADING,0
5,1788220800000000240,1788220860000000240,99.99,100.01,0.01,100.005,CONTINUOUS_TRADING,0
6,1788220800000000300,1788220860000000300,,,0.01,,MISSING,0
7,1788220800000000360,1788220860000000360,99.995,100.005,0.01,100.0,CONTINUOUS_TRADING,0
8,1788220800000000420,1788220860000000420,99.995,100.005,0.01,100.0,CONTINUOUS_TRADING,0
9,1788220800000000480,1788220860000000480,99.995,100.005,0.01,100.0,CONTINUOUS_TRADING,0
10,1788220800000000540,1788220860000000540,99.99,100.01,0.01,100.005,CONTINUOUS_TRADING,0
